time,x,y,heading,distance,segment
0.0,7.56,6.57,-2.0,0.0,1
0.02,7.514684976113252,6.56539479383556,-2.0,0.0455485834251474,1
0.04,7.4694137539591985,6.560377608509521,-2.0,0.0910971668502948,1
0.06,7.424190321191932,6.5549467057989474,-2.0,0.13664575027544218,1
0.08,7.379018708742907,6.5491004679642275,-2.0,0.1821943337005896,1
0.1,7.333902987463723,6.542837400720614,-2.0,0.22774291712573702,1
0.12,7.288847264636401,6.536156136068718,-2.0,0.27329150055088436,1
0.14,7.243857735596164,6.529042765135444,-2.0,0.31884008397603186,1
0.16,7.198937280415468,6.521505692647994,-2.0,0.3643886674011792,1
0.18,7.154089656518608,6.513546853005443,-2.0,0.4099372508263266,1
0.2,7.109319084126919,6.505165432532599,-2.0,0.45548583425147404,1
0.22,7.064629799813738,6.496360756062594,-2.0,0.5010344176766214,1
0.24,7.020027070025286,6.48712748455439,-1.9000108283804387,0.5465830011017687,1
0.26,6.975516897625163,6.477457923391376,-1.749178397412142,0.5921315845269162,1
0.28,6.931101122787428,6.467363793349915,-1.5983459664438453,0.6376801679520637,1
0.3,6.886784005277902,6.456845014786409,-1.4475135354755497,0.683228751377211,1
0.32,6.842569798775093,6.445901653444381,-1.2966811045072524,0.7287773348023584,1
0.34,6.798463223352355,6.4345321075728235,-1.1458486735389555,0.7743259182275058,1
0.36,6.7544723298627165,6.422722894143769,-0.9950162425706595,0.8198745016526532,1
0.38,6.710597363691882,6.410490159987366,-0.8441838116023624,0.8654230850778005,1
0.4,6.666842504912076,6.397834582998997,-0.6933513806340655,0.9109716685029481,1
0.42,6.623211904188788,6.38475698717887,-0.5425189496657692,0.9565202519280953,1
0.44,6.579710134453513,6.371256897536356,-0.3916865186974727,1.0020688353532428,1
0.46,6.5363460655201395,6.357320839913354,-0.24085408772917544,1.0476174187783902,1
0.48,6.493118792807695,6.3429662149766,-0.09002165676087903,1.0931660022035374,1
0.5,6.450032296312434,6.3281944485922415,0.06081077420741753,1.138714585628685,1
0.52,6.407090504093656,6.313007107037396,0.2116432051757135,1.1842631690538323,1
0.54,6.364297799474069,6.297404514083064,0.3624756361440109,1.2298117524789798,1
0.56,6.321663431322203,6.281374324408003,0.5133080671123071,1.2753603359041275,1
0.58,6.279185455620294,6.26493430715607,0.664140498080602,1.3209089193292745,1
0.6,6.236867539572342,6.248086593520564,0.8149729290488985,1.366457502754422,1
0.62,6.194713278343158,6.230833443375678,0.9658053600171954,1.4120060861795694,1
0.64,6.152726191597882,6.2131772424203175,1.1166377909854925,1.4575546696047168,1
0.66,6.110916428323511,6.195105142787023,1.2674702219537894,1.5031032530298643,1
0.68,6.069281072378532,6.17663488014699,1.4183026529220863,1.5486518364550117,1
0.7000000000000001,6.027823136026927,6.157769793732857,1.5691350838903828,1.594200419880159,1
0.72,5.986545788469924,6.138512759469479,1.71996751485868,1.6397490033053064,1
0.74,5.945452107970849,6.118866761474215,1.870799945826977,1.6852975867304538,1
0.76,5.904549123243248,6.098826722966985,2.0216323767952735,1.730846170155601,1
0.78,5.863838858048197,6.078398067338207,2.1724648077635704,1.7763947535807485,1
0.8,5.823321014621799,6.057590433985589,2.3232972387318678,1.8219433370058962,1
0.8200000000000001,5.782998266350669,6.036407214958452,2.4741296697001642,1.8674919204310434,1
0.84,5.742873185143364,6.0148518894764065,2.6249621006684607,1.9130405038561906,1
0.86,5.702948239983988,5.9929280196631805,2.775794531636758,1.9585890872813383,1
0.88,5.6632301391915325,5.9706315832883385,2.9266269626050545,2.0041376707064855,1
0.9,5.623719377565069,5.947969796049063,3.0774593935733514,2.049686254131633,1
0.92,5.610359518470469,5.912864175050612,1.04,2.092690744638501,2
0.9400000000000001,5.611131015116257,5.871227161289136,1.04,2.1343353236231692,2
0.96,5.6122663036173766,5.829598515416987,1.04,2.175979902607838,2
0.98,5.613782413240994,5.787982028959272,1.04,2.2176244815925066,2
1.0,5.615697309924835,5.746382013500185,1.04,2.2592690605771755,2
1.02,5.6180299450638955,5.704803362216123,1.04,2.300913639561844,2
1.04,5.620800305154466,5.663251618247538,1.04,2.342558218546513,2
1.06,5.624029461873036,5.621733050581839,1.04,2.3842027975311813,2
1.08,5.627739622051589,5.580254738160321,1.04,2.42584737651585,2
1.1,5.631954176873257,5.538824662957288,1.04,2.467491955500519,2
1.12,5.636697749450153,5.4974518128062595,1.04,2.5091365344851875,2
1.1400000000000001,5.641996239755574,5.456146294762455,1.04,2.5507811134698564,2
1.16,5.647876865662383,5.414919459787589,1.04,2.5924256924545244,2
1.18,5.654421882712577,5.3737929178269495,1.04,2.6340702714391933,2
1.2,5.661640647955523,5.332779555448056,1.04,2.675714850423862,2
1.22,5.669545574911939,5.291893221897241,1.04,2.7173594294085306,2
1.24,5.67817034778994,5.251152761273335,1.04,2.7590040083931995,2
1.26,5.687550054328622,5.210579207591648,1.04,2.800648587377868,2
1.28,5.697843235007168,5.1702279305671315,1.0306377656585302,2.842293166362537,2
1.3,5.70900811570457,5.130109511614449,0.9773012157476942,2.8839377453472057,2
1.32,5.721060244700339,5.090248666005332,0.922545943879425,2.925582324331874,2
1.34,5.734172332375178,5.050724281712871,0.8677906720111553,2.9672269033165426,2
1.36,5.748346277100922,5.011568230573142,0.8130354001428851,3.0088714823012115,2
1.3800000000000001,5.763593404288516,4.9728177845660255,0.7582801282746174,3.0505160612858804,2
1.4000000000000001,5.780145200232436,4.9346063944304825,0.7035248564063473,3.092160640270549,2
1.42,5.797861567752514,4.8969213507969345,0.6487695845380783,3.1338052192552173,2
