trajectory,point_index,x,y,heading
traj_1,0,7.56,6.57,3.13
traj_1,1,7.56,6.57,-2.0
traj_1,2,7.538921522577286,6.567912458977953,-2.0
traj_1,3,7.517871239189791,6.565737650704037,-2.0
traj_1,4,7.496849149837516,6.563475575178252,-2.0
traj_1,5,7.47585525452046,6.561126232400597,-2.0
traj_1,6,7.4548895532386235,6.558689622371073,-2.0
traj_1,7,7.433952045992005,6.55616574508968,-2.0
traj_1,8,7.413042732780608,6.553554600556418,-2.0
traj_1,9,7.392161613604428,6.550856188771286,-2.0
traj_1,10,7.371308688463468,6.548070509734286,-2.0
traj_1,11,7.350483957357728,6.5451975634454165,-2.0
traj_1,12,7.329687420287207,6.542237349904677,-2.0
traj_1,13,7.308919077251905,6.539189869112069,-2.0
traj_1,14,7.288178928251822,6.536055121067592,-2.0
traj_1,15,7.267466973286958,6.532833105771246,-2.0
traj_1,16,7.246783212357315,6.52952382322303,-2.0
traj_1,17,7.226127645462889,6.526127273422945,-2.0
traj_1,18,7.205500272603684,6.522643456370991,-2.0
traj_1,19,7.184901093779698,6.519072372067169,-2.0
traj_1,20,7.164330108990931,6.515414020511477,-2.0
traj_1,21,7.143787318237383,6.511668401703915,-2.0
traj_1,22,7.123272721519055,6.5078355156444845,-2.0
traj_1,23,7.102786318835945,6.503915362333185,-2.0
traj_1,24,7.0823281101880555,6.499907941770016,-2.0
traj_1,25,7.061898095575385,6.495813253954978,-2.0
traj_1,26,7.041496274997933,6.491631298888071,-1.9726528427731829
traj_1,27,7.021122648455702,6.487362076569294,-1.9037210344633575
traj_1,28,7.0007772159486885,6.483005586998649,-1.8348206752088458
traj_1,29,6.980459977476895,6.478561830176134,-1.765950440209286
traj_1,30,6.96017093304032,6.47403080610175,-1.6971090029251608
traj_1,31,6.939910082638965,6.469412514775497,-1.6282950351515364
traj_1,32,6.91967742627283,6.464706956197375,-1.5595072070922722
traj_1,33,6.899472963941913,6.459914130367384,-1.4907441874346992
traj_1,34,6.879296695646215,6.455034037285523,-1.4220046434247102
traj_1,35,6.859148621385738,6.450066676951793,-1.3532872409422998
traj_1,36,6.839028741160479,6.445012049366195,-1.284590644577455
traj_1,37,6.81893705497044,6.439870154528727,-1.2159135177064622
traj_1,38,6.798873562815619,6.434640992439389,-1.1472545225685256
traj_1,39,6.778838264696018,6.429324563098183,-1.0786123203427582
traj_1,40,6.758831160611637,6.4239208665051075,-1.0099855712254424
traj_1,41,6.738852250562474,6.418429902660162,-0.941372934507597
traj_1,42,6.7189015345485315,6.412851671563349,-0.8727730686528137
traj_1,43,6.698979012569808,6.407186173214666,-0.8041846313753123
traj_1,44,6.679084684626303,6.401433407614114,-0.7356062797182381
traj_1,45,6.659218550718018,6.395593374761692,-0.6670366701321533
traj_1,46,6.639380610844952,6.389666074657402,-0.5984744585536808
traj_1,47,6.619570865007105,6.383651507301242,-0.5299183004843284
traj_1,48,6.599789313204477,6.377549672693213,-0.46136685106942155
traj_1,49,6.5800359554370695,6.371360570833315,-0.39281876517714753
traj_1,50,6.56031079170488,6.365084201721547,-0.3242726974776682
traj_1,51,6.54061382200791,6.3587205653579115,-0.25572730252233145
traj_1,52,6.52094504634616,6.352269661742406,-0.18718123482285653
traj_1,53,6.501304464719629,6.345731490875031,-0.11863314893057941
traj_1,54,6.481692077128317,6.339106052755787,-0.05008169951567165
traj_1,55,6.462107883572225,6.3323933473846745,0.01847445855367802
traj_1,56,6.442551884051351,6.3255933747616915,0.087036670132151
traj_1,57,6.423024078565697,6.31870613488684,0.1556062797182367
traj_1,58,6.403524467115262,6.311731627760119,0.22418463137531042
traj_1,59,6.3840530497000465,6.3046698533815295,0.2927730686528123
traj_1,60,6.36460982632005,6.297520811751072,0.36137293450759644
traj_1,61,6.3451947969752736,6.290284502868743,0.4299855712254397
traj_1,62,6.325807961665715,6.282960926734546,0.4986123203427577
traj_1,63,6.306449320391377,6.275550083348479,0.5672545225685242
traj_1,64,6.287118873152258,6.268051972710544,0.6359135177064603
traj_1,65,6.267816619948358,6.260466594820739,0.7045906445774537
traj_1,66,6.248542560779677,6.252793949679066,0.773287240942298
traj_1,67,6.229296695646216,6.245034037285522,0.8420046434247106
traj_1,68,6.210079024547974,6.23718685764011,0.9107441874346964
traj_1,69,6.190889547484951,6.229252410742829,0.9795072070922708
traj_1,70,6.171728264457148,6.221230696593678,1.048295035151535
traj_1,71,6.152595175464564,6.213121715192658,1.1171090029251598
traj_1,72,6.133490280507198,6.20492546653977,1.1859504402092858
traj_1,73,6.114413579585053,6.196641950635011,1.2548206752088444
traj_1,74,6.095365072698126,6.188271167478384,1.3237210344633563
traj_1,75,6.076344759846418,6.179813117069888,1.392652842773184
traj_1,76,6.05735264102993,6.171267799409523,1.4616174231262944
traj_1,77,6.038388716248662,6.162635214497288,1.5306160966255313
traj_1,78,6.019452985502613,6.153915362333184,1.599650182416418
traj_1,79,6.000545448791782,6.145108242917211,1.6687209976155273
traj_1,80,5.9816661061161716,6.136213856249369,1.7378298572393873
traj_1,81,5.962814957475779,6.127232202329657,1.806978074134024
traj_1,82,5.9439920028706075,6.118163281158076,1.8761669589050636
traj_1,83,5.925197242300654,6.109007092734627,1.9453978198484976
traj_1,84,5.906430675765921,6.099763637059309,2.0146719628820504
traj_1,85,5.887692303266406,6.09043291413212,2.0839906914772444
traj_1,86,5.868982124802111,6.081014923953063,2.1533553065920854
traj_1,87,5.850300140373035,6.071509666522137,2.2227671066044903
traj_1,88,5.831646349979178,6.061917141839341,2.2922273872463785
traj_1,89,5.813020753620541,6.052237349904677,2.361737441538499
traj_1,90,5.794423351297122,6.042470290718143,2.431298559725985
traj_1,91,5.775854143008924,6.0326159642797395,2.5009120292146436
traj_1,92,5.757313128755944,6.022674370589468,2.570579134508029
traj_1,93,5.738800308538184,6.012645509647326,2.64030115714526
traj_1,94,5.7203156823556425,6.002529381453316,2.71007937563964
traj_1,95,5.7018592502083205,5.992325986007436,2.7799150654180647
traj_1,96,5.683431012096218,5.982035323309687,2.8498094987612332
traj_1,97,5.665030968019335,5.971657393360069,2.919763944744694
traj_1,98,5.646659117977671,5.961192196158582,2.989779669180703
traj_1,99,5.6283154619712255,5.950639731705226,3.059857934560929
traj_1,100,5.61,5.94,3.13
traj_1,101,5.61,5.94,-2.0
traj_2,0,5.61,5.94,-2.0
traj_2,1,5.61,5.94,1.04
traj_2,2,5.610590615945737,5.895421342066421,1.04
traj_2,3,5.6115711574782345,5.851521572431218,1.04
traj_2,4,5.612941624597491,5.80830069109439,1.04
traj_2,5,5.614702017303508,5.765758698055939,1.04
traj_2,6,5.6168523355962865,5.723895593315865,1.04
traj_2,7,5.619392579475822,5.682711376874167,1.04
traj_2,8,5.622322748942119,5.642206048730845,1.04
traj_2,9,5.625642843995176,5.6023796088859,1.04
traj_2,10,5.629352864634992,5.563232057339332,1.04
traj_2,11,5.633452810861568,5.52476339409114,1.04
traj_2,12,5.637942682674903,5.486973619141325,1.04
traj_2,13,5.642822480074999,5.449862732489886,1.04
traj_2,14,5.648092203061856,5.413430734136823,1.04
traj_2,15,5.653751851635471,5.377677624082137,1.04
traj_2,16,5.659801425795846,5.34260340232583,1.04
traj_2,17,5.666240925542981,5.308208068867897,1.04
traj_2,18,5.673070350876876,5.274491623708341,1.04
traj_2,19,5.6802897017975305,5.241454066847161,1.04
traj_2,20,5.687898978304945,5.209095398284358,1.04
traj_2,21,5.695898180399119,5.177415618019931,1.04
traj_2,22,5.704287308080055,5.146414726053881,0.9996201675035712
traj_2,23,5.713066361347749,5.116092722386207,0.9581147129439742
traj_2,24,5.722235340202202,5.08644960701691,0.9173173586360579
traj_2,25,5.731794244643416,5.057485379945989,0.877214182924984
traj_2,26,5.7417430746713904,5.0292000411734445,0.8377905287442546
traj_2,27,5.752081830286122,5.001593590699279,0.7990309681292138
traj_2,28,5.762810511487617,4.974666028523486,0.7609192666132589
traj_2,29,5.77392911827587,4.948417354646073,0.7234383478802267
traj_2,30,5.7854376506508824,4.922847569067034,0.6865702591182075
traj_2,31,5.797336108612655,4.897956671786373,0.6502961375972558
traj_2,32,5.809624492161188,4.8737446628040875,0.6145961790744461
traj_2,33,5.822302801296481,4.850211542120179,0.5794496087125349
traj_2,34,5.835371036018533,4.827357309734647,0.5448346552799506
traj_2,35,5.848829196327346,4.805181965647491,0.5107285294762773
traj_2,36,5.862677282222917,4.783685509858712,0.47710740729403867
traj_2,37,5.876915293705249,4.76286794236831,0.4439464193788596
traj_2,38,5.8915432307743405,4.742729263176285,0.411219647379633
traj_2,39,5.9065610934301915,4.723269472282634,0.3789001282815896
traj_2,40,5.921968881672803,4.704488569687363,0.3469598676810701
traj_2,41,5.9377665955021754,4.686386555390466,0.31536986288540403
traj_2,42,5.953954234918305,4.668963429391946,0.28410013659923106
traj_2,43,5.970531799921197,4.6522191916918025,0.25311978178694616
traj_2,44,5.987499290510849,4.636153842290035,0.22239701807925316
traj_2,45,6.004856706687259,4.620767381186646,0.19189925982322364
traj_2,46,6.02260404845043,4.606059808381632,0.16159319556689722
traj_2,47,6.04074131580036,4.592031123874994,0.13144487843252373
traj_2,48,6.059268508737049,4.578681327666732,0.10141982648216352
